#z (nm),TMC1 LJ (kJ/mol),TMC1 Coul (kJ/mol),TCq1 LJ (kJ/mol),TCq1 Coul (kJ/mol),TMC2 LJ (kJ/mol),TMC2 Coul (kJ/mol),TCq2 LJ (kJ/mol),TCq2 Coul (kJ/mol),TMC3 LJ (kJ/mol),TMC3 Coul (kJ/mol),MPD1 LJ (kJ/mol),MPD1 Coul (kJ/mol),MPD2 LJ (kJ/mol),MPD2 Coul (kJ/mol),SOL LJ (kJ/mol),SOL Coul (kJ/mol),SOD LJ (kJ/mol),SOD Coul (kJ/mol)
-4.1,-0.018,12.736,-0.0,-135.454,-0.435,98.847,0.0,0.0,2.833,152.378,0.076,-57.755,-4.191,-378.715,54.745,-627.226,-0.0,-1.118
-4.0,-0.047,8.024,-0.003,-154.771,-0.089,115.874,0.0,0.0,2.944,216.551,-0.035,-54.585,-4.329,-442.949,53.427,-621.399,-0.0,-8.55
-3.9,0.109,-0.863,-0.019,-162.934,2.497,87.917,0.0,0.0,5.946,218.792,-0.934,-56.77,-3.271,-505.122,47.881,-540.238,-0.0,14.298
-3.8,-0.067,2.681,-0.02,-174.537,1.723,95.625,0.0,0.0,3.505,345.102,-0.815,-57.328,-3.317,-609.583,49.813,-593.004,-0.0,54.797
-3.7,0.064,8.805,-0.016,-181.373,3.846,94.979,0.0,0.0,2.259,449.507,-0.411,-57.89,-3.593,-697.727,50.232,-620.164,-0.0,68.234
-3.6,0.037,27.084,-0.001,-206.512,0.018,128.369,0.0,0.0,8.528,474.985,0.038,-58.875,-4.229,-812.285,47.975,-591.386,-0.002,78.116
-3.5,-0.027,28.748,2.517,-281.879,1.489,128.493,0.0,0.0,5.379,556.213,0.037,-64.351,-4.011,-877.095,46.727,-525.859,-0.001,75.515
-3.4,-0.02,20.34,5.829,-386.776,3.496,137.872,0.0,0.0,2.344,764.06,-0.137,-69.963,-4.595,-1013.24,50.032,-476.866,-0.0,61.057
-3.3,-0.012,19.309,1.491,-309.912,1.584,161.696,0.0,0.0,5.873,754.127,-0.427,-72.76,-5.246,-1102.697,49.591,-440.837,-0.0,32.801
-3.2,-0.002,15.793,0.563,-300.232,0.095,162.389,0.0,0.0,17.314,712.665,-1.35,-89.094,-6.07,-1150.954,42.489,-319.623,-0.0,13.917
-3.1,-0.004,23.482,4.723,-437.573,-0.476,213.777,0.0,0.0,5.914,867.652,-1.032,-93.245,-4.888,-1182.468,47.018,-434.537,-0.005,106.743
-3.0,0.043,23.468,1.64,-372.027,0.195,199.33,0.0,0.0,6.287,925.739,-1.404,-106.225,-4.751,-1267.983,50.272,-475.491,-0.011,152.755
-2.9,0.528,3.783,1.276,-329.624,0.81,216.953,0.0,0.0,3.595,960.992,-1.072,-77.434,-4.946,-1332.571,50.252,-491.45,-0.005,116.671
-2.8,0.137,19.177,0.271,-303.569,4.107,233.655,0.0,0.0,1.088,1045.129,1.991,-154.801,-4.5,-1378.656,49.13,-497.343,-0.002,121.055
-2.7,0.014,15.159,-0.039,-301.089,3.908,233.674,0.0,0.0,0.538,1080.084,0.893,-116.64,-4.171,-1456.774,50.313,-568.224,-0.002,183.16
-2.6,-0.049,14.111,-0.026,-314.872,2.233,247.035,0.0,0.0,0.795,1129.31,-0.411,-80.04,-3.27,-1510.445,53.741,-628.529,-0.003,206.252
-2.5,-0.204,21.932,-0.014,-332.379,0.917,268.87,0.0,0.0,0.986,1179.331,-0.169,-69.875,-3.165,-1555.27,55.262,-669.252,-0.004,210.821
-2.4,-0.228,27.106,0.012,-328.683,1.766,264.984,0.0,0.0,-0.743,1260.499,-0.261,-81.269,-4.031,-1588.685,57.232,-696.383,-0.002,189.996
-2.3,-0.209,26.468,1.188,-378.254,1.925,247.251,0.0,0.0,0.184,1309.147,-0.063,-87.728,-4.719,-1628.986,55.579,-598.597,-0.0,155.875
-2.2,-0.021,22.877,8.49,-644.02,1.985,257.403,0.0,0.0,4.447,1431.42,-0.602,-83.825,-4.49,-1735.095,43.3,-304.457,-0.0,95.446
-2.1,-0.066,23.157,1.58,-477.31,0.176,267.239,0.0,0.0,6.526,1404.409,-0.411,-95.94,-5.092,-1777.394,50.129,-390.58,-0.0,99.743
-2.0,-0.075,25.461,0.277,-443.738,0.25,269.683,0.0,0.0,4.572,1459.006,-0.219,-104.218,-4.705,-1823.625,54.009,-458.271,-0.0,127.751
-1.9,-0.022,21.555,0.429,-481.379,0.017,264.621,0.0,0.0,3.935,1535.214,-0.109,-105.742,-4.719,-1858.886,53.319,-509.576,-0.0,182.135
